GEOID,weighted_ndvi
48029152100,0.47325116
48029152000,0.3696533
48029151302,0.48912433
48029151200,0.44146645
48029151301,0.472948
48029151100,0.4382161
48029160901,0.39295745
48029150502,0.439469
48029160902,0.39440536
48029980002,0.38466457
48029162001,0.48131484
48029161200,0.43376684
48029161302,0.47203752
48029161100,0.4578315
48029161303,0.45448285
48029161000,0.4263589
48029161304,0.4622223
48029161504,0.44464076
48029161503,0.48485816
48029161501,0.43432713
48029161802,0.4307456
48029161801,0.4001792
48029171919,0.40295985
48029171920,0.43037343
48029171802,0.37748176
48029171903,0.39636338
48029171801,0.38493073
48029171916,0.45923865
48029171915,0.46959996
48029171913,0.41330218
48029150501,0.46254703
48029160400,0.42902568
48029160300,0.47240183
48029160702,0.41043988
48029160200,0.44394988
48029160502,0.44766846
48029160501,0.41042095
48029160600,0.41110224
48029170300,0.41224122
48029170200,0.3816251
48029980100,0.37831596
48029161600,0.41203815
48029160701,0.40401044
48029171501,0.43526042
48029171601,0.41626838
48029171100,0.4022322
48029171602,0.37892202
48029171502,0.40925294
48029171700,0.3723786
48029171401,0.47880453
48029171000,0.4090321
48029170900,0.4154011
48029170800,0.39489982
48029170402,0.40892342
48029171200,0.4045121
48029170401,0.3919814
48029170700,0.38114294
48029171301,0.40751347
48029170500,0.4369616
48029170600,0.3874631
48029171927,0.3863088
48029171914,0.4529932
48029172003,0.4898257
48029171917,0.4518559
48029171926,0.31741622
48029172009,0.43853033
48029171923,0.37171647
48029171924,0.40885475
48029171918,0.38668746
48029171929,0.45710084
48029171402,0.45848674
48029180504,0.41962728
48029171302,0.41512382
48029181602,0.41280225
48029180503,0.45916742
48029181725,0.38372228
48029180501,0.4502735
48029181601,0.41115376
48029180604,0.4286679
48029181705,0.35107994
48029180101,0.45393002
48029180400,0.4186054
48029180102,0.4444598
48029180300,0.44094393
48029180202,0.40461606
48029180201,0.37705085
48029180602,0.45000434
48029180800,0.29807293
48029180901,0.4632422
48029180902,0.44706038
48029181727,0.3651258
48029171928,0.45054853
48029172008,0.48842922
48029171912,0.46257794
48029181713,0.4734246
48029181730,0.471572
48029181712,0.51232034
48029172005,0.40012053
48029181731,0.51667786
48029181715,0.48407575
48029152201,0.46149975
48029151900,0.43230578
48029141600,0.45084202
48029192200,0.37337732
48029141403,0.435187
48029141101,0.35843658
48029141102,0.4032345
48029141404,0.46834433
48029150800,0.40443638
48029141000,0.4615186
48029152202,0.50961447
48029141800,0.48097053
48029141700,0.46164393
48029141402,0.4410644
48029141300,0.475176
48029131401,0.45246536
48029131300,0.4568441
48029131200,0.4436673
48029131402,0.44051594
48029131000,0.4671824
48029151700,0.48635396
48029151600,0.45544925
48029151400,0.430229
48029151500,0.4422576
48029150900,0.45903492
48029151000,0.45840248
48029150600,0.44618765
48029150700,0.45422134
48029140300,0.46628824
48029150300,0.43282154
48029140800,0.4906724
48029140900,0.42596072
48029141200,0.45752636
48029140700,0.4354631
48029140600,0.4423962
48029140500,0.44512072
48029140400,0.4506655
48029131100,0.46506128
48029130402,0.4291864
48029130300,0.42251542
48029150400,0.4597375
48029140200,0.39021683
48029150100,0.40470117
48029140100,0.3926809
48029192100,0.4193287
48029160100,0.40042177
48029110300,0.37807998
48029110500,0.33923417
48029110100,0.18658008
48029110600,0.2165842
48029131802,0.46876132
48029131506,0.40666044
48029130900,0.37371615
48029131504,0.4306042
48029131612,0.41391635
48029131507,0.42196235
48029131615,0.37468174
48029131505,0.39759594
48029120504,0.42882252
48029121404,0.3195454
48029130401,0.45434722
48029130200,0.39567137
48029130500,0.41539046
48029191900,0.39489356
48029130600,0.383723
48029130800,0.3884873
48029130700,0.40385652
48029111000,0.36840585
48029192000,0.38329563
48029120100,0.30914408
48029170102,0.40364894
48029110700,0.34355572
48029111100,0.31519032
48029170101,0.40926528
48029190100,0.40826234
48029190200,0.41641226
48029190503,0.46955255
48029190504,0.4776394
48029190501,0.44538912
48029190400,0.4735157
48029190603,0.45946255
48029190604,0.43616506
48029190601,0.4389963
48029190700,0.4368305
48029191005,0.4487843
48029191006,0.44612175
48029190902,0.4264767
48029191004,0.378021
48029190901,0.33807036
48029191003,0.42109242
48029131606,0.4203016
48029121402,0.42032436
48029120503,0.35687894
48029121403,0.3457122
