cover_10,cover_mean,cover_raw,cover_count,GEOID
4.089729245916312,4.089729245916312,4.089729245916312,4469,06073010009
1.2104743083003953,1.2104743083003953,1.2104743083003953,1012,06073010013
1.9685264663805437,1.9685264663805437,1.9685264663805437,699,06073010012
2.366966966966967,2.366966966966967,2.366966966966967,1665,06073010005
2.3358208955223883,2.3358208955223883,2.3358208955223883,670,06073010111
1.8635204081632653,1.8635204081632653,1.8635204081632653,1568,06073010004
2.6491228070175437,2.6491228070175437,2.6491228070175437,1482,06073010106
1.4002036659877801,1.4002036659877801,1.4002036659877801,982,06073010011
3.0400925212027756,3.0400925212027756,3.0400925212027756,1297,06073010010
9.152991452991452,9.152991452991452,9.152991452991452,2340,06073010001
2.214220459457653,2.214220459457653,2.214220459457653,44879,06073010015
0.9725223109441052,0.9725223109441052,0.9725223109441052,21290,06073010016
4.9068660774983,4.9068660774983,4.9068660774983,1471,06073003209
4.198056801195815,4.198056801195815,4.198056801195815,1338,06073003213
7.529325513196481,7.529325513196481,7.529325513196481,1364,06073003214
2.9935559461042764,2.9935559461042764,2.9935559461042764,1707,06073003115
3.9376,3.9376,3.9376,1250,06073003114
3.885050962627407,3.885050962627407,3.885050962627407,1766,06073003107
4.187776793622675,4.187776793622675,4.187776793622675,2258,06073003103
3.4620535714285716,3.4620535714285716,3.4620535714285716,1344,06073003105
3.894341981869334,3.894341981869334,3.894341981869334,3199,06073010017
6.090047393364929,6.090047393364929,6.090047393364929,3798,06073010018
1.3488372093023255,1.3488372093023255,1.3488372093023255,1419,06073010003
6.273511904761905,6.273511904761905,6.273511904761905,3360,06073010019
8.176044568245125,8.176044568245125,8.176044568245125,1795,06073013308
3.6439716312056736,3.6439716312056736,3.6439716312056736,1410,06073003212
3.2222222222222223,3.2222222222222223,3.2222222222222223,1440,06073003202
4.650099403578529,4.650099403578529,4.650099403578529,1509,06073003208
4.811380400421497,4.811380400421497,4.811380400421497,949,06073003211
9.603689211850195,9.603689211850195,9.603689211850195,1789,06073003201
3.291650485436893,3.291650485436893,3.291650485436893,2575,06073010107
1.1269600404653515,1.1269600404653515,1.1269600404653515,1977,06073013205
1.3832020997375327,1.3832020997375327,1.3832020997375327,762,06073003603
4.6671408250355615,4.6671408250355615,4.6671408250355615,703,06073003303
2.652054794520548,2.652054794520548,2.652054794520548,730,06073003602
2.1560137457044672,2.1560137457044672,2.1560137457044672,1455,06073003305
4.542975696502667,4.542975696502667,4.542975696502667,1687,06073003301
3.5825688073394497,3.5825688073394497,3.5825688073394497,654,06073003304
5.050873196659074,5.050873196659074,5.050873196659074,1317,06073003501
3.0139634801288935,3.0139634801288935,3.0139634801288935,1862,06073003404
5.8559670781893,5.8559670781893,5.8559670781893,1215,06073003109
3.6123595505617976,3.6123595505617976,3.6123595505617976,1780,06073003113
3.457510729613734,3.457510729613734,3.457510729613734,1165,06073003101
3.799256505576208,3.799256505576208,3.799256505576208,1614,06073003111
3.786273329319687,3.786273329319687,3.786273329319687,1661,06073003112
4.36309963099631,4.36309963099631,4.36309963099631,1355,06073003004
7.040180247840781,7.040180247840781,7.040180247840781,2663,06073003001
7.078701155751238,7.078701155751238,7.078701155751238,3634,06073003003
2.888434818144667,2.888434818144667,2.888434818144667,2447,06073002712
6.058911260253542,6.058911260253542,6.058911260253542,1341,06073002705
4.838101430429129,4.838101430429129,4.838101430429129,1538,06073003403
7.024061597690086,7.024061597690086,7.024061597690086,3117,06073003401
8.425141242937853,8.425141242937853,8.425141242937853,2124,06073002502
12.091763005780347,12.091763005780347,12.091763005780347,2768,06073004200
7.188095238095238,7.188095238095238,7.188095238095238,840,06073002602
6.141828653707703,6.141828653707703,6.141828653707703,1389,06073002501
2.3254564983888293,2.3254564983888293,2.3254564983888293,931,06073002601
0.5106761565836299,0.5106761565836299,0.5106761565836299,562,06073002402
2.2755102040816326,2.2755102040816326,2.2755102040816326,882,06073001500
2.1196698762035764,2.1196698762035764,2.1196698762035764,727,06073002401
6.810760667903525,6.810760667903525,6.810760667903525,1617,06073002711
5.167358229598894,5.167358229598894,5.167358229598894,2169,06073002703
4.754452926208652,4.754452926208652,4.754452926208652,786,06073002710
8.1071953010279,8.1071953010279,8.1071953010279,681,06073002709
5.472021066491113,5.472021066491113,5.472021066491113,1519,06073002702
3.3106796116504853,3.3106796116504853,3.3106796116504853,721,06073002708
0.38902147971360385,0.38902147971360385,0.38902147971360385,419,06073002707
0.6437768240343348,0.6437768240343348,0.6437768240343348,466,06073002301
10.326219512195122,10.326219512195122,10.326219512195122,1640,06073002804
8.489574645537948,8.489574645537948,8.489574645537948,1199,06073002803
4.518126888217522,4.518126888217522,4.518126888217522,1324,06073014102
6.373230373230373,6.373230373230373,6.373230373230373,1554,06073002903
6.0811277330264675,6.0811277330264675,6.0811277330264675,1738,06073002902
4.250386398763524,4.250386398763524,4.250386398763524,1294,06073002905
5.103123450669311,5.103123450669311,5.103123450669311,2017,06073002904
8.549741872471047,8.549741872471047,8.549741872471047,7167,06073009706
4.8214771182600815,4.8214771182600815,4.8214771182600815,2207,06073009802
6.278908618449545,6.278908618449545,6.278908618449545,2309,06073009801
6.909090909090909,6.909090909090909,6.909090909090909,2112,06073009804
13.718463302752294,13.718463302752294,13.718463302752294,3488,06073009704
0.2235494880546075,0.2235494880546075,0.2235494880546075,586,06073002302
0.13493530499075784,0.13493530499075784,0.13493530499075784,541,06073002202
0.3231552162849873,0.3231552162849873,0.3231552162849873,393,06073002201
0.4941329856584094,0.4941329856584094,0.4941329856584094,767,06073001600
