GEOID,weighted_ndvi
27053011704,0.52115923
27053011703,0.5170428
27053111600,0.5424749
27053110900,0.4839131
27053011000,0.49164164
27053110100,0.47146264
27053009600,0.47969908
27053009500,0.44571045
27053109700,0.45663595
27053108600,0.46924168
27053012102,0.4714869
27053012101,0.47002947
27053011800,0.50127095
27053011998,0.493577
27053110500,0.49820012
27053111100,0.5193654
27053110200,0.4994413
27053110400,0.49775496
27053109000,0.5634606
27053108700,0.4846787
27053108800,0.46405578
27053108900,0.5275381
27053107600,0.5369597
27053107400,0.46527284
27053107500,0.50516164
27053106200,0.34012997
27053106400,0.45941135
27053125600,0.47170943
27053104902,0.3301447
27053104802,0.37521785
27053008500,0.44104907
27053008400,0.41928202
27053125800,0.40500548
27053125900,0.4184814
27053005902,0.34188706
27053106000,0.37006274
27053005901,0.30497536
27053104801,0.26673526
27053105400,0.18208979
27053126102,0.19294576
27053126101,0.20620131
27053003801,0.36058325
27053103700,0.39298502
27053103600,0.3496786
27053103000,0.43477368
27053103100,0.42924038
27053102500,0.4265273
27053101900,0.43441525
27053101800,0.38311908
27053001100,0.50989974
27053104901,0.30783865
27053103900,0.32938614
27053104001,0.43424207
27053003802,0.38940847
27053104002,0.46651912
27053102600,0.4146094
27053101200,0.47532785
27053000603,0.49796385
27053000601,0.50477344
27053012003,0.4135704
27053111500,0.5037598
27053010700,0.5358
27053110800,0.49636206
27053110000,0.4705845
27053109200,0.40357465
27053109300,0.44889152
27053109400,0.39027965
27053008100,0.41495034
27053008200,0.38402122
27053012001,0.48478037
27053111300,0.5388395
27053111400,0.5478912
27053111200,0.52067465
27053010600,0.5543226
27053109800,0.5277846
27053109900,0.49286562
27053109100,0.44319412
27053108000,0.39791244
27053106600,0.4345278
27053008300,0.38385192
27053007700,0.27401713
27053007801,0.3497475
27053107000,0.3669259
27053126000,0.32425898
27053106900,0.34960344
27053006800,0.37269533
27053105700,0.26446325
27053105600,0.31249523
27053105204,0.19962473
27053106500,0.49545753
27053106700,0.38018635
27053105500,0.45893264
27053105100,0.5485698
27053104100,0.45520893
27053103400,0.35389775
27053003200,0.52562684
27053003300,0.49051973
27053002700,0.48599187
27053102800,0.5014279
27053105201,0.2987651
27053104400,0.12375782
27053126201,0.18453619
27053126202,0.27386382
27053126300,0.44378653
27053002200,0.50224465
27053002400,0.4254458
27053001700,0.41607141
27053101600,0.4869022
27053100900,0.47671494
27053100500,0.39833722
27053102100,0.4815683
27053102000,0.5160241
27053101300,0.47825962
27053125700,0.47997293
27053100700,0.53171235
27053100800,0.52076024
27053100400,0.43619376
27053000300,0.45944795
27053100200,0.44425702
27053000102,0.46927178
27053000101,0.48597315
