GEOID,weighted_ndvi
12086007300,0.6296145
12086007200,0.49544764
12086007101,0.4550873
12086007007,0.3819088
12086007006,0.38878757
12086007004,0.34182358
12086006302,0.39219683
12086005804,0.31903034
12086005803,0.34131372
12086006304,0.3587362
12086007103,0.3844118
12086007104,0.47428742
12086006801,0.49829203
12086007005,0.3627981
12086006901,0.43327183
12086007003,0.3560962
12086006501,0.39603516
12086006503,0.41898412
12086006401,0.3863981
12086006402,0.3964963
12086005806,0.3403448
12086006303,0.34957826
12086005805,0.36033085
12086005600,0.39300063
12086005701,0.31665587
12086005503,0.34256622
12086005707,0.36494648
12086005504,0.3558473
12086005708,0.29995102
12086004903,0.30595717
12086004904,0.30621538
12086005706,0.28694692
12086005505,0.31193516
12086005506,0.36342517
12086005705,0.3761677
12086490100,0.34881577
12086005002,0.32273093
12086004901,0.2773702
12086005004,0.37826848
12086005003,0.34024784
12086005410,0.3221778
12086005407,0.3394955
12086005409,0.2553302
12086005403,0.34019157
12086005405,0.33485344
12086005406,0.29659474
12086005103,0.3072536
12086005102,0.3674102
12086005104,0.3412267
12086003004,0.33380845
12086003006,0.36186698
12086003005,0.33845705
12086002402,0.36133173
12086002900,0.358561
12086002404,0.40426525
12086002501,0.41062117
12086002502,0.43699333
12086001802,0.47936594
12086002300,0.49451566
12086001904,0.45165125
12086001705,0.30570555
12086001704,0.3854204
12086002403,0.38601848
12086001801,0.4639912
12086001903,0.42654628
12086001901,0.42166466
12086001501,0.38505536
12086001004,0.43752012
12086980400,0.48879236
12086006706,0.29408553
12086006705,0.3156728
12086006714,0.27125058
12086006716,0.2343103
12086006713,0.21543725
12086006717,0.24513209
12086006603,0.23235954
12086006707,0.28076363
12086006718,0.25214148
12086006802,0.5394501
12086006902,0.4512201
12086006504,0.4284217
12086006715,0.46460992
12086006608,0.4427538
12086006403,0.418241
12086006607,0.35659438
12086006604,0.26186332
12086005304,0.31523517
12086006606,0.27449283
12086005306,0.27297136
12086006605,0.20594914
12086005303,0.34062204
12086005305,0.28120333
12086003604,0.31749928
12086003605,0.29239595
12086005201,0.26902625
12086003606,0.32535383
12086003603,0.35041916
12086005202,0.31799048
12086006719,0.20146486
12086006722,0.23848793
12086006721,0.24391462
12086006720,0.18051589
12086006709,0.36553556
12086003705,0.26684037
12086004500,0.3133394
12086003703,0.1381743
12086003704,0.1593798
12086003708,0.2563723
12086003706,0.21176296
12086003707,0.17358232
12086981000,0.052428816
12086003710,0.21609482
12086002709,0.2977676
12086002710,0.23056817
12086002702,0.29472482
12086002708,0.22666712
12086002707,0.27383608
12086002705,0.32674292
12086003607,0.38032177
12086003709,0.30347908
12086003400,0.3563609
12086003001,0.3934824
12086003100,0.38659948
12086002800,0.26571596
12086002600,0.37169072
12086002202,0.48695064
12086002201,0.48866847
12086002003,0.5007973
12086002100,0.49013463
12086001302,0.45529035
12086001301,0.4194277
12086002004,0.4582012
12086002001,0.46005365
12086001401,0.45399716
12086001402,0.3885901
