cover_10,cover_mean,cover_raw,cover_count,GEOID
5.1972542212403345,5.1972542212403345,5.1972542212403345,6337,08031012010
10.547186932849364,10.547186932849364,10.547186932849364,1102,08031012016
13.985365853658537,13.985365853658537,13.985365853658537,2255,08031005503
8.885933806146571,8.885933806146571,8.885933806146571,1692,08031012015
8.797440699126092,8.797440699126092,8.797440699126092,3204,08031005502
10.91268758526603,10.91268758526603,10.91268758526603,2199,08031012001
14.521066208082544,14.521066208082544,14.521066208082544,2326,08031015700
13.996338337605273,13.996338337605273,13.996338337605273,2731,08031011902
14.084398976982097,14.084398976982097,14.084398976982097,1564,08031004801
15.436801375752365,15.436801375752365,15.436801375752365,1163,08031011903
6.975796788880901,6.975796788880901,6.975796788880901,4173,08031015600
11.092789968652038,11.092789968652038,11.092789968652038,1595,08031003002
4.075535168195719,4.075535168195719,4.075535168195719,3270,08031001403
13.726331360946746,13.726331360946746,13.726331360946746,1352,08031003006
11.697361335487345,11.697361335487345,11.697361335487345,1857,08031001402
8.856293359762141,8.856293359762141,8.856293359762141,1009,08031003005
9.158121499353728,9.158121499353728,9.158121499353728,2321,08031001401
6.620814479638009,6.620814479638009,6.620814479638009,1105,08031002901
8.422336328626445,8.422336328626445,8.422336328626445,2337,08031001302
2.620180722891566,2.620180722891566,2.620180722891566,3320,08031002102
13.40858658948384,13.40858658948384,13.40858658948384,2073,08031004603
12.722481176048763,12.722481176048763,12.722481176048763,2789,08031004700
11.11961057023644,11.11961057023644,11.11961057023644,2157,08031004602
12.980293308890925,12.980293308890925,12.980293308890925,2182,08031004601
10.488174077578051,10.488174077578051,10.488174077578051,1057,08031004506
11.88323090430202,11.88323090430202,11.88323090430202,1139,08031004503
10.822519083969466,10.822519083969466,10.822519083969466,2096,08031001301
11.872759856630825,11.872759856630825,11.872759856630825,1116,08031004505
13.176589303733602,13.176589303733602,13.176589303733602,991,08031004504
12.968904912122579,12.968904912122579,12.968904912122579,2219,08031000903
11.8325,11.8325,11.8325,400,08031002805
6.955133079847909,6.955133079847909,6.955133079847909,1315,08031003801
12.13716814159292,12.13716814159292,12.13716814159292,226,08031002804
17.416533333333334,17.416533333333334,17.416533333333334,1875,08031003203
12.007067137809187,12.007067137809187,12.007067137809187,849,08031002801
18.096072931276296,18.096072931276296,18.096072931276296,1426,08031003300
11.101983002832862,11.101983002832862,11.101983002832862,353,08031002707
13.411851851851852,13.411851851851852,13.411851851851852,675,08031003205
17.559859154929576,17.559859154929576,17.559859154929576,568,08031003202
8.755555555555556,8.755555555555556,8.755555555555556,225,08031002709
7.470286885245901,7.470286885245901,7.470286885245901,976,08031002802
6.304851556842867,6.304851556842867,6.304851556842867,2762,08031001000
5.484231943031536,5.484231943031536,5.484231943031536,983,08031002101
6.142857142857143,6.142857142857143,6.142857142857143,378,08031002706
5.66798418972332,5.66798418972332,5.66798418972332,253,08031002705
5.447830101569714,5.447830101569714,5.447830101569714,1083,08031001800
3.061714285714286,3.061714285714286,3.061714285714286,875,08031002000
2.3652509652509655,2.3652509652509655,2.3652509652509655,2590,08031001901
5.2890625,5.2890625,5.2890625,384,08031002704
1.4745098039215687,1.4745098039215687,1.4745098039215687,255,08031002604
13.103646833013435,13.103646833013435,13.103646833013435,2084,08031000902
13.398760330578513,13.398760330578513,13.398760330578513,1452,08031000905
13.669337217771304,13.669337217771304,13.669337217771304,1373,08031000904
3.6523394994559304,3.6523394994559304,3.6523394994559304,1838,08031000800
10.560643564356436,10.560643564356436,10.560643564356436,808,08031000704
9.616236162361623,9.616236162361623,9.616236162361623,813,08031000705
8.420289855072463,8.420289855072463,8.420289855072463,759,08031000706
8.354716981132075,8.354716981132075,8.354716981132075,530,08031000703
7.867549668874172,7.867549668874172,7.867549668874172,2265,08031000501
14.339152119700747,14.339152119700747,14.339152119700747,1203,08031000504
0.870604781997187,0.870604781997187,0.870604781997187,711,08031001707
0.23773584905660378,0.23773584905660378,0.23773584905660378,530,08031001706
3.4605334784975503,3.4605334784975503,3.4605334784975503,1837,08031980200
0.7941712204007286,0.7941712204007286,0.7941712204007286,549,08031001704
7.751743375174337,7.751743375174337,7.751743375174337,1434,08031000600
0.0855106888361045,0.0855106888361045,0.0855106888361045,421,08031001705
2.3071090047393366,2.3071090047393366,2.3071090047393366,1055,08031001603
3.963696369636964,3.963696369636964,3.963696369636964,303,08031001703
7.284776902887139,7.284776902887139,7.284776902887139,762,08031000404
1.7099447513812154,1.7099447513812154,1.7099447513812154,1086,08031001602
12.020961775585697,12.020961775585697,12.020961775585697,1622,08031002300
5.423357664233577,5.423357664233577,5.423357664233577,411,08031002404
5.953125,5.953125,5.953125,1472,08031003601
2.039408866995074,2.039408866995074,2.039408866995074,1421,08031001601
2.8278450776318036,2.8278450776318036,2.8278450776318036,5861,08031001500
1.8865261936980475,1.8865261936980475,1.8865261936980475,5173,08031003501
14.158081705150977,14.158081705150977,14.158081705150977,563,08031000503
15.141891891891891,15.141891891891891,15.141891891891891,1628,08031000303
15.559300873907615,15.559300873907615,15.559300873907615,1602,08031000302
13.187470780738662,13.187470780738662,13.187470780738662,2139,08031000301
11.697781885397411,11.697781885397411,11.697781885397411,2164,08031000102
10.810490693739425,10.810490693739425,10.810490693739425,2955,08031015400
7.420162381596753,7.420162381596753,7.420162381596753,1478,08031001102
14.433488372093024,14.433488372093024,14.433488372093024,1075,08031000403
10.524048096192384,10.524048096192384,10.524048096192384,998,08031001101
14.241727941176471,14.241727941176471,14.241727941176471,1088,08031000401
10.75723717623159,10.75723717623159,10.75723717623159,1969,08031000202
