city,current_treecover,target_treecover,cases_prevented,money_saved
Boston,19.13196102684861,29.13196102684861,243581.33,2679394609.375
Chicago,6.619388104581234,16.619388104581233,1409788.8,15507676250.0
Denver,6.366593887443787,16.366593887443788,260160.2,2861762234.375
Detroit,10.650148334010714,20.650148334010716,81221.016,893431171.875
Houston,18.039673347510732,28.039673347510732,487989.34,5367882781.25
Los_Angeles,8.67542674591749,18.67542674591749,3022812.0,33250932000.0
Minneapolis,15.686032175794423,25.686032175794423,70516.35,775679867.1875
New_York,11.790374130090722,21.790374130090722,8675256.0,95427816000.0
Philadelphia,16.534481624979605,26.534481624979605,1338640.9,14725049625.0
San_Antonio,12.988937469297255,22.988937469297255,190207.61,2092283703.125
San_Diego,7.433046885112635,17.433046885112635,838133.94,9219473312.5
San_Francisco,6.829312030102817,16.829312030102816,1173968.9,12913657625.0
Seattle,20.383068367139366,30.383068367139366,137816.17,1515977890.625
